Country Name	Country Code	Series Name	Series Code	Time	Time Code	Value
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1970	YR1970	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1971	YR1971	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1972	YR1972	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1973	YR1973	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1974	YR1974	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1975	YR1975	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1976	YR1976	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1977	YR1977	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1978	YR1978	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1979	YR1979	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1980	YR1980	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1981	YR1981	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1982	YR1982	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1983	YR1983	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1984	YR1984	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1985	YR1985	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1986	YR1986	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1987	YR1987	43.5
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1988	YR1988	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1989	YR1989	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1990	YR1990	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1991	YR1991	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1992	YR1992	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1993	YR1993	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1994	YR1994	41.3
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1995	YR1995	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1996	YR1996	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1997	YR1997	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1998	YR1998	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	1999	YR1999	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2000	YR2000	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2001	YR2001	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2002	YR2002	41.4
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2003	YR2003	42.2
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2004	YR2004	41.3
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2005	YR2005	42.6
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2006	YR2006	39.6
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2007	YR2007	38.4
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2008	YR2008	39
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2009	YR2009	39
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2010	YR2010	38.8
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2011	YR2011	40
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2012	YR2012	40.2
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2013	YR2013	40.2
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2014	YR2014	41.2
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2015	YR2015	42.9
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2016	YR2016	41.9
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2017	YR2017	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2018	YR2018	
Turkey	TUR	GINI index (World Bank estimate)	SI.POV.GINI	2019	YR2019	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1970	YR1970	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1971	YR1971	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1972	YR1972	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1973	YR1973	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1974	YR1974	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1975	YR1975	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1976	YR1976	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1977	YR1977	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1978	YR1978	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1979	YR1979	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1980	YR1980	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1981	YR1981	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1982	YR1982	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1983	YR1983	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1984	YR1984	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1985	YR1985	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1986	YR1986	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1987	YR1987	40.6
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1988	YR1988	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1989	YR1989	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1990	YR1990	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1991	YR1991	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1992	YR1992	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1993	YR1993	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1994	YR1994	39.1
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1995	YR1995	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1996	YR1996	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1997	YR1997	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1998	YR1998	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	1999	YR1999	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2000	YR2000	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2001	YR2001	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2002	YR2002	35
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2003	YR2003	38.5
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2004	YR2004	28.1
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2005	YR2005	25.7
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2006	YR2006	23.2
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2007	YR2007	19.8
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2008	YR2008	16.9
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2009	YR2009	16.7
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2010	YR2010	15.9
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2011	YR2011	13.6
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2012	YR2012	13
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2013	YR2013	11.4
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2014	YR2014	10.5
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2015	YR2015	11.5
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2016	YR2016	9.9
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2017	YR2017	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2018	YR2018	
Turkey	TUR	Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)	SI.POV.UMIC	2019	YR2019	
Turkey	TUR	Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC	1970	YR1970	
Turkey	TUR	Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC	1971	YR1971	
Turkey	TUR	Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC	1972	YR1972	
Turkey	TUR	Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC	1973	YR1973	
Turkey	TUR	Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC	1974	YR1974	
Turkey	TUR	Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC	1975	YR1975	
Turkey	TUR	Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC	1976	YR1976	
Turkey	TUR	Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC	1977	YR1977	
Turkey	TUR	Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)	SI.POV.LMIC	1978	YR1978	
