SKU,Count,Sum,Average,Max
5201100337,5,13,2.60,4
5201100339,3,5,1.67,2
5201103238,4,12,3.00,4
5201103338,2,2,1.00,1
5201103339,4,4,1.00,1
5201103340,10,18,1.80,4
5201103840,2,5,2.50,3
5201200534,1,1,1.00,1
5201200535,4,4,1.00,1
5201200536,7,7,1.00,1
5201200537,1,1,1.00,1
5201200538,21,51,2.43,5
5201200539,12,18,1.50,2
5202400535,27,30,1.11,2
5202400536,42,59,1.40,3
5202400537,28,34,1.21,2
5202400538,22,32,1.45,2
5202400539,15,15,1.00,1
5202400635,2,2,1.00,1
5202400636,8,8,1.00,1
5202400637,8,8,1.00,1
5202400638,11,21,1.91,5
5202400639,8,12,1.50,3
6291200834,2,4,2.00,2
6491104537,1,3,3.00,3
6491104538,1,2,2.00,2
6491201738,1,2,2.00,2
6491201739,1,2,2.00,2
6492302338,1,2,2.00,2
7221205239,4,4,1.00,1
7221205338,1,1,1.00,1
7291100435,4,4,1.00,1
7291100634,3,3,1.00,1
7291100635,8,12,1.50,3
7291100636,7,12,1.71,3
7291100637,7,12,1.71,3
7291100638,5,11,2.20,3
7291100639,4,4,1.00,1
7291200535,1,2,2.00,2
7291200636,1,1,1.00,1
7291200637,2,2,1.00,1
7291200638,1,2,2.00,2
7291200639,1,2,2.00,2
7291200936,2,2,1.00,1
7291200937,4,4,1.00,1
7291200938,2,2,1.00,1
7291200939,2,4,2.00,2
7291201035,2,2,1.00,1
7291201036,2,3,1.50,2
7291201037,2,2,1.00,1
7291201038,2,3,1.50,2
7291201436,2,2,1.00,1
7291201437,2,3,1.50,2
7291202238,1,2,2.00,2
7291202239,1,2,2.00,2
7293101136,3,3,1.00,1
7293101137,1,1,1.00,1
7293101836,2,2,1.00,1
7293101837,2,2,1.00,1
7293101838,1,2,2.00,2
7293101839,1,1,1.00,1
7293101935,1,1,1.00,1
7293101936,1,1,1.00,1
7293101937,1,1,1.00,1
7293101938,2,2,1.00,1
7293300635,13,16,1.23,2
7293300636,12,18,1.50,3
7293300637,10,13,1.30,2
7293300639,1,1,1.00,1
14132316237,1,1,1.00,1
14132316238,1,2,2.00,2
14132316239,2,2,1.00,1
14132316240,1,2,2.00,2
14132316241,1,1,1.00,1
14132348638,2,2,1.00,1
14132348639,2,2,1.00,1
14132348640,1,2,2.00,2
14132348641,1,2,2.00,2
14132348643,1,1,1.00,1
14142301938,1,2,2.00,2
14142301939,1,2,2.00,2
14142301940,1,2,2.00,2
14142301941,2,2,1.00,1
14142301942,1,1,1.00,1
14142302238,1,2,2.00,2
14142302239,2,2,1.00,1
14142302240,2,2,1.00,1
14142302241,1,2,2.00,2
14142302242,1,1,1.00,1
14161111438,1,1,1.00,1
14161111439,2,2,1.00,1
14161111440,1,2,2.00,2
14161111441,1,2,2.00,2
14161111442,1,1,1.00,1
15202400335,3,3,1.00,1
16101200241,7,7,1.00,1
16101200242,5,6,1.20,2
16101200243,6,10,1.67,2
16101200438,3,4,1.33,2
16101200439,2,2,1.00,1
16101200440,1,1,1.00,1
16101200441,3,9,3.00,3
16101200638,2,2,1.00,1
16101200639,2,2,1.00,1
16101200640,2,4,2.00,2
16101200641,5,21,4.20,6
16103105638,1,1,1.00,1
16103105639,1,1,1.00,1
16103105641,1,2,2.00,2
16103105642,1,1,1.00,1
16103105738,2,2,1.00,1
16103105739,2,2,1.00,1
16103105741,2,4,2.00,2
16103105742,2,2,1.00,1
16103105743,2,3,1.50,2
16103105838,4,4,1.00,1
16103105839,4,4,1.00,1
16103105840,2,2,1.00,1
16103105841,8,10,1.25,2
16103105842,2,3,1.50,2
16103105843,2,2,1.00,1
16103105844,1,1,1.00,1
16103107338,1,7,7.00,7
16103107339,1,1,1.00,1
16103107538,2,6,3.00,3
16103107539,1,1,1.00,1
16103107540,1,1,1.00,1
16103108138,1,1,1.00,1
16103108139,4,7,1.75,3
16103108140,3,3,1.00,1
16103108141,4,10,2.50,4
16103108238,6,8,1.33,2
16103108239,10,15,1.50,2
16103108240,7,12,1.71,3
16103108241,11,14,1.27,2
16103108242,4,4,1.00,1
16103108243,2,2,1.00,1
16103109438,4,7,1.75,3
16103109439,2,3,1.50,2
16103109440,4,6,1.50,2
16103109441,5,13,2.60,4
16103109443,3,3,1.00,1
16103109639,1,1,1.00,1
16103109640,1,1,1.00,1
16103109641,1,1,1.00,1
16103109642,1,1,1.00,1
16103113538,4,4,1.00,1
16103113539,3,4,1.33,2
16141318738,1,2,2.00,2
16141318739,5,11,2.20,4
16141318740,2,4,2.00,3
16141318741,3,9,3.00,4
16141318742,1,1,1.00,1
16141318838,3,4,1.33,2
16141318839,1,1,1.00,1
16141318840,3,5,1.67,2
16141318841,1,1,1.00,1
16141318842,1,1,1.00,1
16141318843,1,1,1.00,1
16191101141,1,1,1.00,1
16191101142,2,5,2.50,4
16191101143,2,8,4.00,5
16191101939,3,3,1.00,1
16191101940,4,9,2.25,3
16191101941,5,10,2.00,3
16191102141,1,2,2.00,2
16191102143,2,3,1.50,2
16191102240,1,1,1.00,1
16191102241,3,5,1.67,2
16191102242,3,3,1.00,1
16191102243,4,5,1.25,2
16193115038,6,6,1.00,1
16193115039,8,9,1.13,2
16193115040,11,17,1.55,3
16193115041,12,23,1.92,4
16193115042,3,3,1.00,1
16193115043,3,3,1.00,1
16193416138,1,1,1.00,1
16193416139,1,1,1.00,1
16193416140,7,11,1.57,3
16193416141,7,12,1.71,3
16193416142,6,9,1.50,3
16193416143,5,6,1.20,2
16193416238,8,8,1.00,1
16193416239,15,17,1.13,2
16193416240,16,26,1.63,3
16193416241,13,27,2.08,4
16193416242,10,12,1.20,2
16193416243,5,5,1.00,1
16201100335,4,5,1.25,2
16201100336,11,16,1.45,3
16201100338,5,6,1.20,2
16202300535,12,18,1.50,3
16202313534,1,1,1.00,1
16202313535,5,8,1.60,3
16202313536,8,11,1.38,2
16202313537,4,6,1.50,2
16202313538,5,6,1.20,2
16202313539,9,12,1.33,2
16202313540,2,2,1.00,1
16202324935,4,9,2.25,3
16202324936,4,7,1.75,2
16202325235,1,3,3.00,3
16202400435,17,37,2.18,4
16202400436,9,9,1.00,1
16202400535,3,9,3.00,5
16202400536,4,9,2.25,4
16202400537,2,2,1.00,1
16202400538,1,1,1.00,1
16202400635,4,14,3.50,4
16202400636,2,2,1.00,1
16202400735,2,2,1.00,1
16202400736,3,4,1.33,2
16202400737,7,12,1.71,3
16202400738,4,4,1.00,1
16202400739,4,5,1.25,2
16202400835,2,3,1.50,2
16202400836,1,4,4.00,4
16202500034,7,7,1.00,1
16202500035,10,14,1.40,2
16202500134,8,10,1.25,2
16202500135,11,15,1.36,3
16202500136,11,18,1.64,3
16202500137,10,10,1.00,1
16202500138,2,2,1.00,1
16202500139,1,1,1.00,1
16202500434,3,3,1.00,1
16202500435,12,18,1.50,2
16202500436,9,12,1.33,2
16202500437,6,6,1.00,1
16202500438,2,2,1.00,1
16291100434,3,3,1.00,1
16291100435,9,16,1.78,3
16291100436,6,12,2.00,4
16291100437,11,16,1.45,3
16291100438,8,11,1.38,2
16291100439,6,8,1.33,2
16291100536,1,2,2.00,2
16291100537,2,2,1.00,1
16291100538,1,1,1.00,1
16291101136,1,2,2.00,2
